cle;Respondent_ID;weight;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;A1bis;A2;A6_1_slice;A6_2_slice;A6_3_slice;A6_4_slice;A6_5_slice;A6_6_slice;A7;B5_1_slice;B5_2_slice;B5_3_slice;B5_4_slice;B5_5_slice;B5_6_slice;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C214;C215;C216;C217;C218;C219;C220;C301;C302;C303;C304;C305;C306;C307;C308;C309;C310;C311;C4_1_slice;C4_2_slice;C4_3_slice;C4_4_slice;rs3;rs5;rs6;RS1;RS191;RS192;RS193;RS102RECAP;rs11recap2;RS11recap;RS193bis;RS2Recap;RS56Recap;RS2;RS11;RS102
11;MET20_639635;0.7397234366;0;1;1;0;3;;2;2;4;1;0;1;2;1;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;0;10;40;0;;50;0;2;2;3;2;2;3;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;6;4;4;5;1;1;7;2;2;1;2;2;1;2;;3;1;40;0;2
12;MET20_1149132;0.9306511977;0;0;1;0;3;;2;1;1;1;1;3;3;4;4;4;4;4;4;4;5;5;4;5;5;4;5;2;3;3;3;3;2;3;3;3;2;3;3;3;2;2;3;2;2;3;2;2;3;3;3;2;2;3;2;2;2;2;3;3;2;3;3;3;3;1;0;0;15;0;;85;0;3;4;4;4;4;4;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;7;7;7;7;1;1;7;2;1;2;2;3;2;1;;2;1;32;1;3
13;MET20_1120017;0.9765900354;1;0;0;0;1;1;;10;20;7;1;4;4;4;4;3;2;4;5;5;5;5;5;5;5;5;5;4;4;4;4;3;2;1;4;4;2;1;4;4;3;4;2;1;2;3;4;2;4;3;1;2;3;1;3;1;3;2;3;4;1;2;2;1;1;1;0;100;0;0;0;0;0;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;2;1;1;2;1;1;2;;5;3;60;0;1
14;MET20_1167688;0.6947629021;1;0;0;0;1;2;;0;1;0;0;3;3;3;3;4;4;3;5;5;5;5;5;5;5;5;5;4;4;4;4;3;3;4;3;4;3;4;4;4;4;4;4;2;2;3;2;2;3;2;2;1;1;1;2;1;1;2;2;2;2;3;2;2;1;1;70;0;10;0;20;0;1;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;6;7;7;1;1;3;2;1;1;2;2;1;2;;3;1;40;0;2
15;MET20_80004501;0.9059973118;0;1;0;0;2;;2;1;2;1;1;3;4;3;4;3;4;3;4;4;4;4;4;5;4;4;4;3;4;4;2;2;3;4;3;2;3;3;3;3;4;3;3;2;2;2;3;2;2;3;4;2;2;2;4;2;2;3;3;2;2;2;2;4;2;1;0;0;30;0;70;0;2;3;4;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;5;6;6;2;3;;2;2;2;2;4;1;2;;6;3;65;0;4
16;MET20_1152003;0.7980860057;1;0;0;0;1;4;;0;3;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;3;2;2;2;2;4;2;3;2;4;4;3;3;3;1;2;3;3;2;2;3;2;2;2;2;2;1;2;1;3;2;2;2;2;2;1;2;80;0;0;15;0;5;20;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;2;2;2;1;1;1;2;1;6;3;76;0;1
17;MET20_4275;0.8247615439;1;0;1;0;1;2;;10;15;10;5;4;4;4;4;4;3;3;3;5;4;5;5;5;5;5;4;1;3;2;2;1;1;1;2;2;2;1;2;2;1;2;1;1;3;1;2;1;3;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;30;30;10;10;15;5;20;3;4;4;4;4;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;7;7;7;1;3;;2;1;2;2;2;1;2;;6;3;73;0;2
18;MET20_7001032;1.1244839825;1;0;1;0;1;2;;4;5;2;1;1;2;1;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;3;2;1;2;2;2;2;1;1;2;2;2;2;2;1;2;3;2;2;3;1;2;2;2;3;2;2;1;1;30;30;10;10;20;0;4;2;2;2;2;2;2;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;3;2;2;3;1;1;8;1;1;2;2;4;3;1;;2;1;34;2;4
19;MET20_0;0.9059973118;1;0;0;0;1;2;;7;7;5;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;4;3;3;1;2;4;4;1;3;3;4;4;2;3;3;1;2;3;3;2;2;2;3;2;2;1;2;1;1;2;2;2;2;2;1;2;1;1;0;0;20;60;0;20;50;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;6;6;7;2;3;;2;1;2;2;2;1;2;;6;3;70;0;2
20;MET20_1617483;0.7631943152;1;0;0;0;1;2;;1;0;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;3;4;2;3;4;4;4;4;4;4;4;3;3;4;2;3;2;3;3;1;3;2;3;2;3;2;3;2;3;4;3;3;3;3;3;1;1;70;0;10;5;5;10;10;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;4;2;1;2;2;4;2;1;;3;1;44;1;4
