cle;Respondent_ID;weight;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;A9_1_slice;A9_2_slice;A9_3_slice;A9_4_slice;A9_5_slice;A9_6_slice;A9_7_slice;A9_8_slice;A9_9_slice;A9_10_slice;A9_11_slice;A9_12_slice;A9_13_slice;A9_14_slice;A9_15_slice;A9_16_slice;A10_1_slice;A10_2_slice;A10_3_slice;A10_4_slice;A10_5_slice;A10_6_slice;A10_7_slice;A10_8_slice;A11_1_slice;A11_2_slice;A11_3_slice;A11_4_slice;A11_5_slice;A11_6_slice;A11_7_slice;A11_8_slice;A11_9_slice;A11_10_slice;A11_11_slice;A11_12_slice;A11_13_slice;A1bis;A2;A6_1_slice;A6_2_slice;A6_3_slice;A6_4_slice;A6_5_slice;A6_6_slice;A7;B5_1_slice;B5_2_slice;B5_3_slice;B5_4_slice;B5_5_slice;B5_6_slice;C201;C202;C203;C204;C205;C206;C207;C208;C209;C210;C211;C212;C213;C214;C215;C216;C217;C218;C219;C220;C301;C302;C303;C304;C305;C306;C307;C308;C309;C310;C311;C4_1_slice;C4_2_slice;C4_3_slice;C4_4_slice;rs3;rs5;rs6;RS1;RS191;RS192;RS193;RS102RECAP;rs11recap2;RS11recap;RS193bis;RS2Recap;RS56Recap;RS2;RS11;RS102
1223;MET20_1427362;0.7980860057;0;1;0;0;2;;2;10;8;4;1;4;4;3;4;4;4;4;5;5;5;5;5;5;5;5;4;1;3;3;2;2;3;3;2;2;2;1;1;4;1;1;4;2;2;4;3;2;2;2;4;2;3;2;2;2;3;2;4;2;2;3;2;4;2;1;0;0;20;20;0;60;4;3;4;2;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;2;2;2;2;2;1;2;;6;3;80;0;2
1224;MET20_1138572;4.3522316022;1;0;1;0;3;;4;2;1;1;0;4;4;4;4;3;4;4;4;5;5;5;5;5;5;5;5;4;3;3;4;2;3;3;3;1;3;2;4;4;2;2;4;2;2;4;2;2;3;2;3;2;2;1;2;1;1;1;2;2;1;2;1;3;3;1;0;0;0;0;;100;20;3;4;4;4;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;7;7;7;2;3;;2;2;1;1;3;1;2;1;1;3;19;0;3
1225;MET20_1208011;0.7397234366;1;1;0;0;1;2;;1;1;1;1;3;3;3;3;4;4;4;5;5;5;5;5;5;5;5;5;1;4;4;4;4;1;4;4;4;4;3;4;1;1;1;4;1;1;1;1;1;2;1;4;1;1;1;1;1;1;1;1;3;3;4;3;1;1;1;96;0;0;1;2;1;2;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;8;2;1;1;2;4;4;1;;3;1;36;3;5
1226;MET20_7003189;0.9765900354;1;0;0;0;1;2;;2;2;2;1;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;2;4;3;1;4;3;2;4;3;4;4;2;4;3;1;1;2;4;1;2;2;3;3;3;2;3;2;3;3;3;3;2;2;2;3;1;1;80;0;0;20;0;0;10;3;4;4;3;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;7;6;7;7;2;6;;2;1;2;2;4;1;2;;5;3;61;0;4
1227;MET20_7015569;0.9965400009;0;0;1;0;3;;3;2;2;3;1;4;4;4;4;3;4;3;5;5;5;5;5;5;5;5;5;1;2;3;4;3;1;3;2;1;1;1;2;4;2;1;4;2;1;4;2;2;3;2;4;2;2;2;2;2;2;2;2;2;2;2;2;4;3;1;0;0;10;10;;80;15;2;4;4;3;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;3;7;7;7;1;3;;1;2;1;1;2;1;2;2;6;3;78;0;2
1228;MET20_60948;0.8149973567;1;0;1;0;1;4;;6;4;6;0;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;50;10;10;20;10;0;20;2;2;2;2;2;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;1;3;2;1;9;2;1;2;2;2;1;2;;4;2;46;0;2
1229;MET20_7000647;0.9965400009;0;1;0;0;2;;1;2;2;2;1;4;4;4;4;4;4;2;4;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;2;2;4;2;2;2;2;3;4;4;4;4;4;4;4;2;1;0;0;0;0;0;100;0;4;4;4;4;4;4;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;7;7;7;7;1;3;;1;2;2;2;2;1;2;;6;3;71;0;2
1230;MET20_1215395;0.4424340921;1;1;1;0;1;2;;10;7;15;4;1;2;3;3;3;3;2;4;4;5;5;2;5;4;4;2;1;1;1;1;2;3;2;1;1;2;1;4;2;1;1;2;1;1;3;1;1;3;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;50;5;5;30;10;0;10;2;4;2;4;4;4;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;3;3;7;6;2;1;5;2;2;2;1;2;1;2;1;5;1;62;0;2
1231;MET20_1097736;1.0076397374;1;0;0;0;1;4;;4;1;4;1;4;3;3;3;4;4;4;5;5;5;5;5;5;5;5;5;3;3;3;3;2;2;2;3;3;3;3;3;3;3;3;2;3;2;2;3;3;1;3;2;3;3;3;3;3;2;3;4;3;3;3;3;3;1;1;80;4;4;2;5;5;5;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;9;2;1;2;1;4;3;1;2;3;2;44;2;4
1232;MET20_764045;0.7980860057;1;0;0;0;1;2;;5;5;5;2;4;4;3;3;3;4;2;4;4;5;5;5;5;5;5;4;2;2;3;3;2;1;3;2;2;2;1;2;2;1;1;2;2;2;3;2;1;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;40;10;0;50;5;3;3;4;4;3;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;6;7;7;1;3;;2;1;2;2;1;1;2;;6;3;74;0;1
1233;MET20_1217517;0.7397234366;1;0;0;0;1;2;;5;2;2;1;4;4;4;4;4;4;4;4;3;5;5;5;5;5;5;5;2;4;3;3;3;2;2;2;1;3;2;3;4;2;3;2;1;2;3;2;2;4;3;2;2;2;3;2;2;2;2;2;2;2;2;1;2;1;1;80;0;10;5;5;0;4;3;3;4;3;4;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;7;5;7;7;1;1;5;2;1;2;2;3;2;1;;3;1;37;1;3
1234;MET20_80003632;0.9612750925;1;0;1;0;1;3;;10;10;10;1;4;4;4;3;3;3;2;3;4;4;5;3;5;5;4;4;2;2;2;2;3;3;2;2;2;1;1;3;2;2;2;3;2;1;3;2;2;3;2;1;2;2;2;3;2;1;2;2;2;2;3;1;1;1;1;50;5;20;20;5;0;10;2;4;4;4;4;4;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;6;6;7;7;2;3;;2;1;2;2;2;1;2;;5;3;64;0;2
1235;MET20_7007918;0.837901566;1;0;0;0;1;1;;2;2;1;0;4;4;4;4;3;3;2;4;4;5;5;4;4;5;4;4;3;3;3;3;2;2;3;3;2;2;3;4;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;80;0;0;20;0;0;30;3;4;4;4;4;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;7;7;7;1;3;;2;1;1;2;2;1;2;;6;3;67;0;2
1236;MET20_80002904;1.0946952712;1;0;1;0;1;3;;20;20;8;8;3;4;2;2;2;2;3;3;3;3;3;4;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;45;25;10;20;0;0;20;2;3;2;2;1;3;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;4;7;7;7;1;3;;1;1;1;2;2;1;2;;6;3;69;0;2
1237;MET20_1223192;1.1614861152;1;0;1;0;1;4;;8;8;8;2;4;3;3;4;3;2;2;4;4;5;5;5;5;5;5;4;2;2;2;2;3;2;2;2;2;2;2;3;2;2;2;3;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;45;10;15;15;5;10;60;3;3;4;3;3;3;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;7;7;7;7;1;3;;1;1;2;2;2;1;2;;5;3;63;0;2
1238;MET20_1804883;0.6791997325;0;1;0;0;2;;1;1;1;1;0;4;4;4;4;4;4;4;5;4;5;5;4;5;5;5;5;3;3;3;3;3;3;3;3;2;3;1;4;4;2;2;2;2;2;3;2;1;4;3;4;1;1;2;1;1;2;2;2;3;3;4;3;2;2;1;0;5;0;5;90;0;1;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;2;5;2;2;2;2;2;1;2;;4;1;51;0;2
1239;MET20_1130314;0.6947629021;0;1;0;0;2;;1;2;4;2;0;2;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;3;4;4;3;3;3;3;3;3;3;1;4;3;3;2;3;2;2;3;2;1;3;2;2;1;2;1;2;2;2;2;3;3;1;1;2;3;2;1;0;0;10;20;0;70;5;3;4;4;4;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;7;7;7;7;1;1;5;2;2;2;2;3;2;1;;3;1;37;1;3
1240;MET20_469040;0.7980860057;1;0;0;0;1;1;;1;2;1;0;3;4;4;4;4;3;4;4;5;5;5;5;5;5;4;4;2;3;3;2;3;2;4;2;2;3;2;2;1;3;2;2;2;2;3;3;2;3;2;3;2;2;3;2;3;2;2;2;3;2;3;1;3;1;1;70;0;10;10;10;0;3;4;4;4;4;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;7;7;7;7;1;3;;2;1;2;2;1;1;2;;6;3;75;0;1
1241;MET20_204828;0.6228209308;1;0;0;0;1;1;;1;2;1;0;4;4;4;4;4;4;3;5;5;5;5;5;5;5;5;5;2;2;3;2;4;2;3;2;2;2;1;4;4;3;2;4;2;1;1;2;1;1;2;4;2;2;2;3;2;1;2;1;2;1;2;2;2;1;1;0;0;10;0;0;90;0;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;1;9;2;1;1;2;2;1;2;;5;2;56;0;2
1242;MET20_1228308;0.8247615439;1;0;0;0;1;2;;10;14;12;3;4;4;3;3;3;3;4;5;5;5;5;5;5;5;5;5;3;3;3;3;3;2;2;3;2;2;1;2;3;2;2;3;2;2;2;2;2;3;3;2;3;3;2;2;2;2;2;2;2;2;3;2;2;1;1;40;10;40;5;0;5;6;3;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;2;1;2;2;1;1;2;;6;3;75;0;1
1243;MET20_428658;0.8247615439;1;0;0;0;1;2;;10;8;10;3;4;4;4;4;3;2;4;5;5;5;5;5;5;5;5;5;2;4;3;3;4;3;4;2;2;2;1;3;4;2;2;1;1;2;3;2;1;3;2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;50;0;10;5;0;35;10;1;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;2;1;2;2;1;1;2;;6;3;83;0;1
1244;MET20_1140727;2.5848577065;1;0;0;0;1;1;;1;1;1;1;3;3;3;3;4;4;4;5;5;5;5;5;5;5;5;5;3;2;2;2;2;3;1;1;2;3;2;3;1;2;3;1;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;50;0;0;0;0;50;0;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;6;7;7;1;1;6;1;1;1;2;1;1;2;;1;1;21;0;1
1245;MET20_1606130;0.4424340921;1;0;0;0;1;1;;2;1;1;1;4;4;4;4;3;3;3;4;4;4;5;5;4;4;4;4;3;3;3;3;2;3;3;3;2;3;3;3;2;3;3;3;2;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;2;3;1;1;80;0;0;20;0;0;10;4;3;4;4;4;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;6;6;7;2;1;5;2;1;2;2;2;1;2;;5;1;61;0;2
1246;MET20_80000183;0.7631943152;1;0;1;0;1;4;;15;10;15;5;4;4;2;2;3;4;4;3;3;5;5;5;3;3;3;3;1;2;2;2;2;2;4;2;2;1;1;2;3;2;2;3;2;2;4;1;2;3;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;80;0;5;10;4;1;30;2;4;3;4;4;3;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;7;7;7;7;2;1;8;2;1;1;2;4;2;1;;3;1;41;1;5
1247;MET20_1210017;0.6841663427;1;0;0;0;1;2;;3;1;3;3;3;3;3;3;3;4;4;4;4;4;5;4;5;4;4;3;3;3;2;2;3;2;2;3;2;3;2;3;2;2;3;2;2;2;2;3;3;3;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2;1;1;0;0;0;34;33;33;15;2;3;2;4;3;4;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7;7;7;7;2;2;10;2;1;2;1;2;1;2;2;5;2;59;0;2
1248;MET20_43820;0.9965400009;1;0;1;0;1;1;;4;3;4;2;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;1;2;2;2;4;2;1;3;2;2;1;3;2;1;2;2;1;2;2;1;1;2;2;2;1;2;1;2;1;1;1;2;2;2;2;1;1;1;1;68;8;8;8;8;0;2;2;2;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;1;2;1;2;1;2;2;6;3;83;0;2
1249;MET20_12627;0.7980860057;0;1;0;0;2;;1;2;2;1;1;4;4;4;4;3;4;2;4;4;4;4;5;5;4;4;4;2;3;3;3;3;3;3;3;2;3;2;3;2;3;3;2;2;2;3;2;2;3;2;3;2;2;2;2;2;2;2;3;3;2;2;2;2;2;1;0;0;50;0;0;50;0;2;2;3;3;3;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;7;7;7;7;1;3;;2;2;1;2;1;1;2;;6;3;76;0;1
1250;MET20_7000100;1.1239197817;1;0;0;0;1;3;;4;4;2;1;3;3;3;3;4;3;4;4;4;5;5;5;5;5;5;5;3;3;4;3;4;2;4;3;2;3;2;3;3;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;60;0;15;15;10;0;15;4;4;4;4;4;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;7;7;7;7;1;4;;1;1;2;2;3;1;2;;5;3;55;0;3
1251;MET20_7011250;0.8528399828;1;0;0;0;1;3;;2;4;2;1;4;4;4;4;4;3;4;4;4;4;5;5;5;5;4;4;3;4;3;3;1;3;4;2;2;2;2;3;2;2;2;3;2;2;3;3;2;2;2;2;3;3;3;1;3;2;2;3;2;2;3;1;2;1;1;80;0;0;15;5;0;18;4;4;4;4;4;4;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;7;7;7;1;1;4;1;1;2;2;2;1;2;;3;1;44;0;2
1252;MET20_1229850;0.9643085747;0;0;1;0;3;;2;1;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;2;3;3;3;3;2;4;3;3;4;3;3;4;2;2;4;2;2;3;2;2;2;2;4;2;2;3;2;3;2;3;3;3;2;4;4;3;3;1;0;0;20;0;;80;2;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;2;2;2;2;1;2;;6;3;68;0;2
1253;MET20_696816;1.0946952712;0;1;0;0;2;;1;0;0;0;0;4;4;4;4;3;4;4;5;5;5;5;5;5;5;5;5;2;4;4;4;3;4;4;4;2;4;2;3;4;4;4;2;3;1;2;2;2;2;3;3;2;2;3;3;3;3;3;2;3;2;3;3;3;2;1;0;0;0;0;0;100;0;3;3;3;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;2;2;1;2;1;2;2;6;3;71;0;2
1254;MET20_7016393;1.055956908;1;0;1;0;1;2;;5;4;3;1;1;3;1;3;3;3;3;4;4;4;4;4;4;4;4;4;2;3;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;3;2;2;4;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;40;20;20;20;3;2;3;3;2;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;5;7;7;1;3;;2;1;1;2;1;1;2;;5;3;63;0;1
1255;MET20_1804594;0.9765900354;1;0;1;0;1;1;;10;10;5;5;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;2;4;4;4;4;2;4;4;4;4;2;1;4;2;2;2;2;2;2;1;2;4;2;4;1;2;1;4;1;1;2;1;1;2;1;2;1;1;1;100;0;0;0;0;0;50;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;2;3;;2;1;2;2;2;1;2;;5;3;64;0;2
1256;MET20_1676398;1.161725334;1;0;0;0;1;2;;4;5;2;0;4;3;4;4;4;3;4;5;4;4;5;5;5;4;4;5;2;3;3;3;3;2;2;2;2;3;2;3;3;2;3;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;3;2;2;1;1;75;5;0;5;15;0;10;2;4;4;4;3;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;7;7;7;7;1;1;9;1;1;2;2;4;3;1;;3;2;43;2;4
1257;MET20_1049324;1.7649132001;1;0;0;0;1;2;;5;2;5;0;4;4;3;3;4;4;4;5;4;5;5;5;5;5;5;5;2;4;3;3;4;1;4;2;4;3;1;2;4;3;2;3;4;1;3;1;1;4;2;3;1;1;1;2;2;2;3;2;3;2;2;3;2;1;1;80;0;0;10;10;0;20;4;4;4;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;7;7;7;2;6;;1;1;2;2;4;3;1;;3;3;37;2;4
1258;MET20_7005577;0.8149973567;1;0;1;0;3;;4;2;2;1;1;3;3;3;3;4;3;3;4;4;4;5;4;5;4;4;4;2;2;1;3;2;3;3;2;3;4;4;2;3;2;2;3;2;1;3;1;2;2;2;2;1;1;1;1;2;1;2;2;2;4;2;2;3;3;1;10;0;30;10;;50;2;3;4;4;4;4;4;1;1;1;1;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;7;6;7;6;1;1;9;2;1;2;2;3;2;1;;4;2;49;1;3
1259;MET20_474876;0.6841663427;1;0;0;0;1;2;;2;1;1;0;4;4;3;3;4;2;2;4;4;4;5;5;5;4;4;5;2;3;2;2;3;2;2;2;1;2;1;3;1;2;2;2;1;2;3;2;2;2;2;3;2;2;2;1;1;1;2;2;3;1;2;2;1;1;2;50;10;20;20;0;0;15;2;3;4;3;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;6;7;6;2;1;9;2;2;2;1;2;1;2;1;5;2;58;0;2
1260;MET20_7003006;1.1239197817;1;0;1;0;1;3;;2;2;2;1;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1;2;2;2;3;2;2;2;2;3;2;3;3;2;2;3;1;2;1;2;1;1;1;1;1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;90;5;0;0;5;0;1;2;3;4;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;1;2;2;3;1;2;;5;3;64;0;3
1261;MET20_7000571;0.5524508228;1;0;0;0;1;1;;1;3;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;4;3;4;2;3;3;4;3;4;4;4;4;3;3;4;4;4;2;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;100;0;0;0;0;0;2;4;4;4;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;7;7;7;1;1;5;1;1;2;2;2;1;2;;5;1;59;0;2
1262;MET20_1258354;0.9617576466;1;0;0;0;1;2;;4;3;2;1;3;2;2;2;3;3;3;3;3;5;5;4;5;5;4;4;2;3;2;2;3;2;3;2;2;3;1;3;2;2;3;2;2;2;3;2;2;3;2;2;1;1;1;1;1;1;3;2;1;2;1;2;1;1;1;80;0;10;5;5;0;7;2;3;4;4;3;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;6;3;7;4;1;1;7;2;1;2;1;4;3;1;2;2;1;30;2;4
1263;MET20_1818776;1.055956908;1;0;1;0;1;2;;20;10;0;0;2;2;3;3;4;2;2;5;5;5;4;5;5;5;3;4;2;2;1;2;2;2;1;2;3;1;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;0;100;0;0;0;0;5;1;1;2;4;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;7;7;4;1;7;;2;1;2;2;2;1;2;;5;3;56;0;2
1264;MET20_1970981;1.0946952712;1;0;0;0;1;5;;50;40;30;5;4;4;4;4;2;1;4;4;5;5;5;5;5;5;4;5;2;3;2;2;3;2;2;1;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;1;2;2;2;2;2;3;2;2;2;2;2;2;2;1;1;20;20;20;30;0;10;50;2;4;4;4;3;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;7;7;7;7;1;3;;1;1;2;1;1;1;2;1;6;3;70;0;1
1265;MET20_7001766;0.9643085747;1;0;0;0;1;2;;10;20;5;2;4;4;3;3;3;2;4;4;4;5;5;5;5;5;4;5;2;3;1;2;1;1;3;2;1;1;1;3;1;1;2;3;1;1;3;2;1;3;2;4;1;1;3;1;2;2;2;1;3;2;1;4;2;1;1;30;10;10;20;10;20;3;3;3;4;3;3;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;7;7;7;1;3;;1;1;2;2;1;1;2;;6;3;71;0;1
1266;MET20_1167225;1.012416781;1;0;1;0;1;3;;10;12;10;1;1;3;3;4;3;1;4;4;4;5;5;5;5;5;5;4;3;1;3;3;4;2;1;2;1;1;1;4;3;2;1;2;2;2;2;2;2;3;2;2;2;2;3;3;2;2;2;2;3;2;2;2;2;1;1;30;30;2;0;5;33;4;3;4;3;3;3;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;7;7;7;7;1;3;;1;1;2;2;2;1;2;;6;3;85;0;2
1267;MET20_1431133;1.1239197817;0;1;0;0;2;;2;1;1;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;4;4;2;2;4;4;2;3;1;4;4;4;2;2;2;2;2;2;2;3;2;3;2;1;1;1;1;1;1;2;1;1;2;1;2;2;1;0;0;5;0;0;95;0;2;4;4;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;2;1;2;1;1;2;;5;3;57;0;1
1268;MET20_1972078;0.7980860057;0;1;0;0;2;;2;1;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;2;4;4;4;3;4;3;4;4;4;3;3;2;2;3;4;4;1;3;2;3;4;4;1;4;4;3;4;4;4;4;3;4;2;1;0;0;3;0;0;97;0;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;3;7;3;1;3;;2;2;1;2;1;1;2;;6;3;69;0;1
1269;MET20_7002829;0.9306511977;1;1;1;0;2;;2;4;3;4;3;2;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;10;10;20;20;20;20;6;1;1;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;4;1;1;1;1;1;6;2;1;1;1;4;4;1;1;2;1;33;3;5
1270;MET20_11421;1.012416781;1;0;0;0;1;1;;1;1;1;0;4;4;4;4;3;3;3;5;5;4;5;5;5;5;5;5;2;3;3;3;2;1;3;3;2;3;1;3;2;2;2;4;2;2;3;2;2;2;3;3;2;3;3;4;3;3;3;4;3;2;4;2;3;1;1;0;2;80;10;5;3;50;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;7;7;7;7;1;3;;1;1;3;2;2;1;2;;6;3;85;0;2
